municipality,pop,Type,number 
Lages,Sample ,c,19
Curitibanos,Sample ,c,0
Correia Pinto,Sample ,c,3
Lages,Sample ,o,0
Curitibanos,Sample ,o,7
Correia Pinto,Sample ,o,7
Lages,Sample ,t,0
Curitibanos,Sample ,t,0
Correia Pinto,Sample ,t,2
Lages,Total ,c,48
Curitibanos,Total ,c,0
Correia Pinto,Total ,c,19
Lages,Total ,o,0
Curitibanos,Total ,o,12
Correia Pinto,Total ,o,7
Lages,Total ,t,0
Curitibanos,Total ,t,0
Correia Pinto,Total ,t,8
