code,municipality,orgcomp,manure,covercrop,croprot,apm,diverse,straw,famlab,lowincome,associated,regtech,credit,offfarminc
4203154,Calmon ,2.13,28.72,12.91,7.69,1.92,25,11.54,83.69,52.54,14.42,15.87,24.52,24.04
4203204,Camboriu,4.76,35.37,2.6,9.91,9.48,11.43,1.29,83.06,33.06,55.17,12.93,8.62,19.83
4203303,Campo Alegre ,3.72,2.74,13.27,12.21,3.26,23.1,23.29,88.09,37.18,37.46,10.42,27.36,39.25
4203402,Campo Belo do Sul ,3.28,11.5,1.3,6.8,4.58,28.3,8.46,84.78,43.88,47.02,4.99,33.01,19
4203501,Campo Ere,14.95,26.13,6.13,27.46,9.05,43.73,68.01,82.44,57.58,61.71,22.46,48.3,23.1
4203600,Campos Novos ,12.23,59.71,5.25,29.34,4.81,31.39,60.58,84.05,40.51,47.77,21.8,44.05,15.71
4203709,Canelinha ,1.57,4.25,3.66,9.17,11.67,21.5,6.25,91.08,41.12,60.42,7.08,6.67,40.42
4203808,Canoinhas ,9.06,40.16,32.83,6.7,11.1,18.72,21.29,74.54,30.13,63.59,48.48,43.73,13.45
4203253,Capao Alto ,3.16,24.91,1.6,4.39,1.25,20.42,1.57,71.62,36.6,52.04,12.23,14.42,29.15
4203907,Capinzal ,10.48,64.07,0.59,26.29,21.13,31.62,33.51,82.46,41.92,52.06,26.55,38.92,22.42
4203956,Capivari de Baixo ,14.71,50,1.44,17.39,2.17,5,0.72,92.86,27.86,2.17,26.09,3.62,32.61
4204004,Catanduvas ,7.69,66.35,0.68,20.55,6.85,21.83,21.23,93.62,39.44,56.85,35.62,30.82,17.12
4204103,Caxambu do Sul ,15.91,65.81,1.56,30.3,30.3,44.99,71.28,79.32,38.83,76.77,22.37,54.69,12.84
4204152,Celso Ramos ,14.71,20.59,9.89,16.4,14.15,38.18,21.06,88.24,53.64,76.53,2.57,43.73,36.5
4204178,Cerro Negro ,4.59,2.59,13.86,23.15,3.54,43.79,18.81,75.28,58.85,79.58,33.6,40.03,13.83
4204194,Chapadao do Lageado ,0,18.01,1.81,3.08,0,12.4,33.14,64.23,28.82,64.74,32.76,45.09,22.93
4204202,Chapeco ,9.61,79.47,27.32,28.09,12.44,32.03,37.31,73.87,45.07,49.13,21.66,33.17,31.44
4204251,Cocal do Sul ,0.68,77.4,14.94,15.57,5.19,29.86,3.77,78.57,51.18,13.68,7.08,7.55,39.62
4204301,Concordia ,21.02,72.63,8.16,42.56,40.14,44.86,66.87,82.34,37.21,78.81,31.73,52.99,19.02
4204350,Cordilheira Alta ,1.33,80.44,16.39,43.59,27.04,22.55,17.02,96.81,42.82,42.66,30.3,44.29,7.23
4204400,Coronel Freitas ,23.61,71.18,3.54,48.81,41.45,29.95,53.28,73.63,34.55,57.65,35.88,56.76,16.4
4204459,Coronel Martins ,5.43,56.79,12.4,52.14,72.44,28.92,89.74,49.69,59.06,78.63,7.26,67.74,26.28
4204558,Correia Pinto ,4.27,14.53,1.3,28.45,1.26,40.39,2.72,84.29,54.22,19.25,2.09,11.3,25.1
4204509,Corupa,1.98,30.88,27.69,1.14,7.32,3.82,1.3,93.79,25.28,43.41,30.08,21.3,11.38
4204608,Criciuma ,7.2,53.11,0.43,5.92,13.87,23.36,13.87,59.89,34.08,37.06,15.4,23.69,24.7
4204707,Cunha Pora,2.96,77.25,3.13,57.92,36.18,35.81,84.66,55.83,37.03,89.87,38.54,66.18,20.55
4204756,Cunhatai,0.56,71.03,42.39,54.62,22.43,55.87,68.07,89.5,33.94,74.41,31.93,63.59,17.41
4204806,Curitibanos ,18.35,15.22,15.17,21.98,9.38,24.8,27.25,80.99,42.39,41.13,12.34,37.28,41
4204905,Descanso ,5.98,45.77,15,47.28,35.93,39.13,82.18,68.31,34.69,74.77,22.8,65.2,17.07
4205001,Dionisio Cerqueira ,10.87,31.46,22.65,39.76,4.9,52.27,67.63,86.56,43.03,64.5,11.08,58.31,13.82
4205100,Dona Emma ,3.63,54.68,4.95,20.55,22.13,20.1,24.11,83.09,36.39,62.85,7.11,36.76,27.67
4205159,Doutor Pedrinho ,0.46,35.19,55.42,4.53,18.82,20,1.39,84.89,37.46,32.4,25.09,16.72,42.86
4205175,Entre Rios ,16.34,27.72,0,26.12,1.88,25.1,56.24,57.56,72.18,32.47,5.65,30.35,21.88
4205191,Ermo ,21.79,16.76,0.2,7.22,1.67,19.69,2.78,70.83,35.23,60.56,37.78,40.56,17.78
4205209,Erval Velho ,7.58,50,7.84,27.04,7.86,29.12,67.3,87.54,42.35,80.82,12.58,66.98,13.52
4205308,Faxinal dos Guedes ,1.97,27.76,8.87,46.65,39.71,35.09,76.56,74.48,40.14,79.67,35.89,37.56,29.9
4205357,Flor do Sertao ,0,49.81,2.21,26.54,70.38,54.7,76.92,81.25,48.66,65,23.85,42.69,18.85
4205407,Florianopolis ,64.03,97.03,25.91,14.79,7.29,7.69,1.88,80.47,34.03,14.58,2.5,1.67,59.58
4205431,Formosa do Sul ,80.21,8.83,29.76,73.86,2.79,24.26,74.11,77.36,48.25,65.74,3.81,60.41,16.5
4205456,Forquilhinha ,1.16,37.84,1.49,13.59,1.91,16.52,11.04,61.68,34.48,60.51,35.88,36.94,10.62
4205506,Fraiburgo ,10.49,37.25,3.04,26.4,10.93,47,37.33,89.13,48.14,55.24,8.19,27.62,16.69
4205555,Frei Rogerio ,15.11,39.27,9.25,17.97,25.82,38.6,39.54,78.95,43.57,73.53,16.67,54.25,26.14
4205605,Galvao ,2.86,36.73,11.36,50.38,42.75,54.96,71.76,90.36,43.97,67.94,27.48,55.73,18.32
4205704,Garopaba ,25.93,55.56,16.89,16.1,3.39,14.29,0.85,87.27,47.06,5.93,7.63,5.93,32.2
4205803,Garuva ,9.57,33.91,1.53,0.82,11.54,27.43,0.27,87.47,39.9,32.14,9.89,10.44,31.87
4205902,Gaspar ,4.35,38.04,0.43,7.98,5.32,15.56,3.19,94.7,40.07,29.26,7.45,11.35,31.21
