code,municipality,orgcomp,manure,covercrop,croprot,apm,diverse,straw,famlab,lowincome,associated,regtech,credit,offfarminc
4215000,Rio Negrinho ,4.36,30.72,15.37,12.05,31.5,18.44,26.85,78.49,29.09,35.11,17.38,18.59,40.1
4215059,Rio Rufino ,2.13,4.26,28.37,13.77,11.48,19.64,18.03,72.85,31.42,60.33,40.66,38.36,9.51
4215075,Riqueza ,12.36,20.97,6.42,35.57,12.72,52.73,18.02,89.95,53.95,68.9,11.78,54.3,10.95
4215109,Rodeio ,1.91,45.93,1.57,5.92,10.65,25.14,7.1,96.54,45.43,32.54,3.85,15.68,37.87
4215208,Romelendia ,2.12,53.42,44.28,43.65,57.79,44.09,75.34,80,45.01,57.48,19.92,66.15,15.17
4215307,Salete ,1.43,32.78,28.2,25.96,33.8,31.87,38.63,79.35,29.88,42.45,35.01,28.57,41.45
4215356,Saltinho ,3.45,31.9,26.24,50.46,18.27,62.22,77.71,95.37,52.89,66.1,21.05,55.73,15.48
4215406,Salto Veloso ,1.68,95.53,13.54,33.02,2.36,19.07,18.4,88.37,34.42,31.6,14.62,19.34,30.66
4215455,Sangao ,0,24.57,0,1.35,0.9,5.19,.,81.38,50.91,72.42,6.73,21.08,63.9
4215505,Santa Cecilia ,4.76,8.33,0.61,3.29,2.82,29.15,2.35,83.27,47.37,18.78,9.39,17.37,23.47
4215554,Santa Helena ,0.28,48.48,19.58,38.94,8.96,50.27,69.47,75,44.62,71.99,18.21,64.43,8.96
4215604,Santa Rosa de Lima ,0.59,69.91,22.75,13.41,21.32,38.7,10.99,87.5,24.59,67.69,8.79,15.16,40.66
4215653,Santa Rosa do Sul ,12.52,27.63,12.04,4.06,7.16,11.18,0.84,72.79,36.12,48.69,11.34,24.82,21.96
4215679,Santa Terezinha ,0.35,1.17,44.2,6.33,16.35,21.73,12.78,90.07,36.55,22.52,53.82,33.35,16.89
4215687,Santa Terezinha do Progresso ,11.16,37.81,21.1,19.85,32.18,65.78,41.05,87.42,55.31,53.98,15.19,42.11,30.53
4215695,Santiago do Sul ,9.89,25.27,0.48,25.87,7.46,36.59,45.27,100,56.59,78.61,6.97,51.74,22.89
4215703,Santo Amaro da Imperatriz ,10.04,40.17,1.63,3.37,25.39,11.17,13.47,91.91,32.49,43.78,23.83,3.63,23.58
4215802,Sao Bento do Sul ,1.12,43.08,35.89,10,15.79,22.58,18.42,90,32.26,33.68,26.84,20,27.89
4215752,Sao Bernardino ,7.75,64.08,16.44,56.83,11.71,55.65,86.33,84.16,44.56,72.89,11.28,62.04,25.81
4215901,Sao Bonifacio ,0.72,78.42,20.74,16.83,46.77,37.66,7.83,82.57,39.9,42.66,9,9.59,31.12
4216008,Sao Carlos ,1.5,71.94,21.38,51.17,47.3,50.24,58.1,87.18,39.2,62.9,33.84,50.36,22.73
4216057,Sao Cristovao do Sul ,14.04,42.11,2.41,6.8,25.24,18.52,3.88,90.37,45.19,43.69,8.74,11.65,33.01
4216107,Sao Domingos ,17.28,23.49,26.91,46.58,26.58,44.2,85.39,76.43,40.25,77.89,26.84,63.82,20.66
4216206,Sao Francisco do Sul ,34.78,60.87,10.26,21.84,17.24,13.86,2.3,89.47,34.65,28.74,16.09,9.2,50.57
4216305,Sao Joao Batista ,40.68,12.17,0,16.11,1.11,13.21,.,86.98,40.93,31.39,19.72,8.33,33.89
4216354,Sao Joao do Itaperi_ ,1.34,76.19,15.35,1.05,1.57,15.28,0.26,76.45,28.24,38.85,36.22,24.15,21
4216255,Sao Joao do Oeste ,2.29,14.86,1.16,62.75,60.66,35.3,55.51,93.02,32.82,74.51,32.48,54.04,10.54
4216404,Sao Joao do Sul ,1.42,21.1,19.97,5.52,5.18,16.87,2.29,66.53,40.94,75.3,28.52,30.65,20.8
4216503,Sao Joaquim ,10.1,6.87,10.87,1.8,16.35,7.12,.,88.4,27.57,58.29,39.24,23.68,42.31
4216602,Sao Jose,3.08,96.92,0.32,5.58,2.58,20.89,.,85.62,28.08,10.3,3,4.29,52.79
4216701,Sao Jose do Cedro ,5.78,42.36,15.95,38.39,9.63,51.32,79.94,84.22,43.9,44.57,19.27,60.17,10.78
4216800,Sao Jose do Cerrito ,4.38,2.38,1.07,12.55,7.9,41.81,15.14,82.72,57.6,59.71,4,31.86,23.15
4216909,Sao Lourenco do Oeste ,13.71,21.28,11.61,47.84,6.13,40.62,71.61,87.84,49.53,55.26,11.96,54.28,18.93
4217006,Sao Ludgero ,1.36,75.85,20.54,23.46,25.31,20.05,4.94,77.03,28.46,71.6,28.7,16.05,30.25
4217105,Sao Martinho ,0.27,73.19,12.38,21.67,32.38,36.87,6.19,98.19,27.86,49.76,8.57,12.86,18.1
4217154,Sao Miguel da Boa Vista ,0.27,41.51,12.75,56.17,65.38,53.63,52.3,78.92,52.69,61.26,8.72,47.46,16.71
4217204,Sao Miguel do Oeste ,7.83,60.6,35.06,39.09,11.17,53.02,69.64,91.54,38.73,67.82,11.57,47.82,17.46
4217253,Sao Pedro de Alcantara ,11.45,74.7,0.83,1.65,0.24,26.61,11.08,96.29,37.25,7.55,2.36,1.65,37.03
4217303,Saudades ,11.88,49.04,10.75,46.95,19.24,57.08,60.38,93.55,39.84,71.52,28,60.48,13.9
4217402,Schroeder ,1.36,37.41,0.84,6.37,7.35,22.45,2.45,81.35,37.24,34.31,11.27,8.82,19.61
4217501,Seara ,12.83,78.83,11.4,45.82,31.08,28.73,54.18,86.2,37.4,73.94,30.76,60.72,20.88
4217550,Serra Alta ,2.52,38.99,9.59,32.26,52.69,52.09,70.75,84.03,44.53,53.98,48.82,47.74,24.09
4217600,Sideropolis ,22.75,30.81,2.37,7.84,10.2,19.7,18.43,79.22,36.43,50.2,36.08,18.43,13.73
4217709,Sombrio ,2,55.82,13.33,2.54,1.86,8.64,1.02,33.33,25.04,54.48,43.32,42.13,13.87
4217758,Sul Brasil ,1.6,36.67,3.63,44.81,34.43,69.74,80.15,92.16,47.23,66.67,7.47,50.27,14.39
4217808,Taio,2.96,32.41,18.17,31.68,19.1,27.12,37.74,73.39,31.93,67.03,21.67,36.64,22.77
4217907,Tangara ,6.3,60.32,26.88,17.25,29.21,29.84,71.81,83.36,30.79,52.64,24.07,49.29,18.02
4217956,Tigrinhos ,0.28,74.3,60.91,53.05,29.19,73.17,35.53,96.81,55.37,65.99,5.08,41.88,9.14
4218004,Tijucas ,2.6,31.17,6.79,1.63,6.5,8.96,4.88,91.79,32.84,47.97,11.38,9.76,23.58
4218103,Timbe do Sul ,0.68,31,7.37,1.79,18.65,10.5,1.19,50,22.71,82.34,52.78,26.98,11.71
4218202,Timbo ,13.41,72.03,7.28,14.16,14.16,24.37,3.27,96,39.92,13.29,6.32,4.58,50.54
4218251,Timbo Grande ,1.52,2.27,0.18,3.23,0.69,33.33,7.83,84.73,38.99,26.73,1.15,8.53,45.16
4218301,Tres Barras ,4.39,10.24,4.68,13,8.98,26.61,21.67,75.85,42.3,18.27,8.67,10.53,50.46
4218350,Treviso ,0,67.65,10.71,8.39,37.42,35.63,4.52,88.16,31.88,49.03,36.77,12.26,54.19
4218400,Treze de Maio ,4.52,47.61,15.85,9.2,7.08,23.91,12.74,85.11,35.4,70.99,18.63,37.03,20.75
4218509,Treze Tilias ,36.49,77.03,15.3,50.43,4.78,23.55,83.04,89.67,20.66,65.65,21.74,39.57,13.91
4218608,Trombudo Central ,5.62,61.04,22.78,16.49,7.17,21.99,16.85,84.89,36.88,44.44,12.19,26.16,25.81
4218707,Tubarao ,11.68,45.51,3.41,13.33,4.5,12.5,0.83,91.28,42.34,26.33,5.83,8,22.5
4218756,Tunapolis ,1.7,84.37,16.16,61.21,29.28,48.8,68.54,83.63,32.58,75.55,49.84,63.4,24.61
4218806,Turvo ,11.49,25.17,2.94,1.64,18.56,11.7,4.76,57.83,23.06,80.62,42.53,49.43,26.27
4218855,Uniao do Oeste ,0.64,59.1,6,35,73.7,50.54,69.44,88.89,49.82,58.52,33.33,56.48,12.96
4218905,Urubici ,1.65,11.36,5.54,16.74,4.11,16.69,1.98,93.19,38.72,56.93,22.22,24.35,20.7
4218954,Urupema ,4.26,7.36,0.26,12.45,7.55,14.98,0.75,74.77,28.75,68.68,24.53,39.25,14.34
4219002,Urussanga ,2.04,49.15,2.5,4.5,6.24,29.93,1.54,90.64,37.78,61.31,18.22,10.54,26.71
4219101,Vargeao ,3.91,30.08,1.52,40,20.77,31.58,66.54,76.41,42.11,77.69,39.62,60.38,15
4219150,Vargem ,0.23,1.82,1.3,20.35,7.79,35.75,52.21,85.69,55.91,58.76,9.38,45.13,29.2
4219176,Vargem Bonita ,19.72,73.24,0,30.69,8.42,3.7,29.21,95.79,20.83,45.54,17.82,42.57,10.89
4219200,Vidal Ramos ,1.66,6.98,34.53,10.3,11,14.77,11.11,70.99,25.93,49.88,27.89,40.28,7.75
4219309,Videira ,18.86,78.97,26.77,42.24,16.95,34.93,72.75,86.21,28.43,67.28,44.2,42.24,16.04
4219358,Vitor Meireles ,4.13,23.79,52.75,19.84,33.02,19.91,21,69.13,26.27,46.91,42.82,44.69,17.15
4219408,Witmarsum ,1.37,38.16,62.07,24.44,33.88,24.14,36.96,70.44,30.45,67.56,37.58,49.69,18.28
4219507,Xanxere ,6.11,66.03,5.83,25.61,5.96,27.02,67.89,85.55,33.28,54.21,20,38.25,24.39
4219606,Xavantina ,0,90.64,0.99,49.24,5,34.81,78.03,92.17,26.99,73.48,38.94,77.73,8.03
4219705,Xaxim ,4.61,77.25,6.88,34.74,7.37,34.06,44.88,87.47,40.3,76.27,27.66,42.2,23.54
4219853,Zortea ,2,64,0.58,22.69,14.29,40.79,57.14,44.74,18.49,21.01,14.29,16.81,57.8
