code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4202099,Barra Bonita ,38.9,73.24,0,99.36,4.81,45.19,17.41,0.2,49.88,53.94,72.8,92.03,1.65,90.54,.,78.52,72.82,45.53,48.21,12.65,58.71,20.76,40.53
4202107,Barra Velha ,73.95,34.85,16.3,85.87,0,27.17,0.23,0,2.79,2.33,67.8,22.03,52.54,51.79,0,4.65,96.04,34.51,39.53,18.6,12.09,19.07,2.65
4202131,Bela Vista do Toldo ,12.97,81.77,0.25,95.64,43.09,0.62,0.38,0,5.57,1.93,6.26,19.8,0.89,75.44,0,14.79,91.78,35.25,51.77,45.77,46.95,5.89,12.3
4202156,Belmonte ,16.81,86.51,1.18,98.24,26.18,26.76,42.36,0.12,40.58,0.87,76.16,84.3,11.34,89.57,.,75.36,77.51,36.68,83.48,39.71,61.45,14.49,49.34
4202206,Benedito Novo ,52.4,48.89,1.71,88.89,5.7,64.39,5.09,0,2.57,15.75,18.71,11.4,9.25,88.58,5.17,7.53,87.99,33.13,29.11,6.51,7.02,38.87,37.16
4202305,Biguacu ,58.6,56.7,2.59,56.48,0.58,74.06,3.76,0.28,7.94,4.54,37.95,0,38.55,33.46,3.23,.,86.37,31.02,27.22,6.24,11.34,33.27,14.78
4202404,Blumenau ,86.16,58.26,9.03,32.81,2.29,91.12,0.16,0,6.59,9.98,36.19,6.6,30.07,63.51,8.06,1.88,87.5,37.13,17.7,3.77,2.07,42.18,35.59
4202438,Bocaina do Sul ,87.79,48.63,2.02,98.39,20.56,10.48,2.5,0,12.47,24.16,52.82,37.5,18.15,51.09,0,16.88,85.02,50.96,60.52,14.55,20,43.9,28.69
4202503,Bom Jardim da Serra ,51.02,51.34,4.05,95.24,33.81,8.81,0.39,0.24,11.27,34.43,1.43,0.36,1.07,62.34,.,.,81.51,21.33,50.82,33.61,18.65,50.2,12.41
4202537,Bom Jesus ,59.88,74.87,2.86,93.57,12.14,17.14,0.86,0,43.83,0,30.57,29.94,1.91,87.74,0,22.22,55.33,28.39,42.59,19.75,43.83,30.25,16.13
4202578,Bom Jesus do Oeste ,14.4,88.59,0,95.51,0.3,49.1,2.14,0.3,47.37,27.42,67.47,88.55,12.05,94.05,.,78.12,94.01,44.47,55.4,22.16,56.23,13.3,46.9
4202602,Bom Retiro ,45.87,48,6.67,90.33,10.33,27.67,28.65,2,13.35,6.31,34.45,17.23,32.21,60.59,11.63,10.44,76.36,38.1,47.82,6.31,22.09,36.41,16.77
4202453,Bombinhas ,100,0,0,0,0,0,0,0.4,0,0,100,100,0,0,0,.,.,.,100,100,0,100,0
4202701,Botuvera,37.24,69.73,1.55,94.57,1.55,5.43,4,0,2.76,18.62,85.59,1.8,83.78,61.9,0,1.38,91.12,24.26,48.28,49.66,9.66,20.69,18.93
4202800,Braco do Norte ,36.66,60.48,0.52,88.45,1.03,74.83,17.84,0,27.72,1.49,59.8,19.44,45.35,57.79,0,12.03,84.02,25.56,71.71,15.23,18.33,21.08,21.73
4202859,Braco do Trombudo ,22.89,86.84,3.54,98.99,1.01,35.35,6.99,0.17,31.84,1.49,19.9,30.89,4.19,61.72,25,24.88,91.75,49.28,41.29,8.46,38.31,25.87,37.8
4202875,Brunopolis ,17.11,36.36,1.39,95.83,2.78,3.47,17.98,0,0.59,0.29,65.02,65.63,0,92.13,0,52.51,97.88,45.14,20.35,19.76,42.18,2.95,27.56
4202909,Brusque ,66.67,47.83,27.27,66.67,21.21,42.42,0.25,1.39,0,22.22,24,16,16,44.19,36.36,1.85,86.67,33.33,18.52,12.96,3.7,42.59,11.11
4203006,Cacador ,40.17,68.44,6.6,95.1,33.01,23.32,1.45,0,7.74,10.9,51.11,44.15,24.19,87,52.76,32.43,84.24,33.33,43.52,11,26.28,27.68,28.14
