code,municipality,nochem,usefert ,orgcomp,nitchem,notnitchem,manure,covercrop,innoculents,croprot,apm,noconvtill,directplanting,lowtill ,soil,drip,straw,famlab,lowincome,associated,regtech,credit,offfarminc,diverse
4208955,Jardinopolis ,57.98,90.16,11.79,91.7,0,26.64,0.63,0.19,57.98,57.98,89.04,72.81,26.75,91.57,.,63.87,91.18,50.4,68.07,21.85,68.49,5.88,46
4209003,Joacaba ,22.99,80.95,1.36,92.76,43.44,73.53,1.57,0,37.09,1.95,91.2,86.57,11.34,61.43,33.33,71.15,92.24,31.45,75.92,40.56,61.39,25.16,43.35
4209102,Joinville ,73.39,48.28,20.36,54.72,2.76,48.67,2.38,1.36,1.9,6.49,43.02,0.2,43.02,66.01,0.34,0.12,93.39,33.72,24.11,7.56,5.65,39.11,20.94
4209151,Jose Boiteux ,36.67,63.53,0.53,100,0,43.39,0.46,0,2.96,1.11,54.11,27.78,58.45,49.7,25,19.26,80.94,28.32,46.11,6.48,31.85,29.63,14.51
4209177,Jupia ,20.8,87.5,2.68,96.13,8.63,31.25,32.27,0,37.92,14.98,83.19,91.59,15.36,77.21,0,83.18,58.59,44.51,60.55,3.98,63.91,19.27,40
4209201,Lacerdopolis ,34.96,78.3,0,90.76,0.54,98.37,37.5,0.3,7.08,0,86.76,91.18,0,71.62,.,26.55,99.13,18.34,62.39,34.51,43.36,2.21,21.4
4209300,Lages ,79.53,63.33,2.31,96.09,3.37,21.14,1.28,0,19.19,12.58,21.03,10.34,14.31,56.73,27.27,5.33,82.29,37.31,63.75,9.38,21.11,27.08,19.97
4209409,Laguna ,98.49,9.52,3.57,69.64,8.93,28.57,0.67,6.22,11.86,1.13,29.73,10.81,18.92,4.72,8.33,0.19,96.06,38.6,18.27,5.08,3.95,42.18,2.76
4209458,Lajeado Grande ,22.42,85.56,1.88,76.25,3.75,75,0.17,0,43.64,12.73,93.59,85.9,12.18,82.02,0,72.12,75.98,24.02,64.24,39.39,55.76,8.48,40.78
4209508,Laurentino ,26.64,86.45,3.73,98.51,0.75,40.67,3.21,0,40.48,41.52,18.11,21.51,8.3,81.57,13.21,18.34,89.31,26.53,29.07,57.79,38.75,17.65,29.25
4209607,Lauro Muller ,58.76,63.66,8.35,86.08,2.78,67.52,43.87,0,8.67,11.68,51.28,5.13,47.44,58.22,0,2.83,82.02,33.17,72.21,7.96,18.58,34.69,20.26
4209706,Lebon Regis ,45.54,57.22,3.92,95.59,31.13,12.75,14.77,0.23,13.37,8.33,21.09,32.78,6.05,88.11,5.56,21.32,87.58,41.41,50.97,5.04,24.42,25.58,37.24
4209805,Leoberto Leal ,2.82,96.77,12.9,99.57,24.93,23.91,14.03,1.23,1.63,39.67,47.73,34.44,38.67,95.73,0,32.1,84.31,27.56,72.66,12.33,38.48,6.84,24.01
4209854,Lindoia do Sul ,26.73,90.95,0.16,83.57,1.58,96.21,58.06,0.29,72.8,43.4,90.21,76.4,38.68,94.13,0,69.81,88.77,30.84,75.31,51.1,65.88,13.21,28.74
4209904,Lontras ,26.57,81.7,0.92,93.07,6,38.11,3.02,0.16,16.63,13.18,34.07,25.49,25,79.56,9.33,21.1,85.69,39.24,51.93,24.95,18.66,21.5,26.29
4210001,Luiz Alves ,39.4,72.38,12.12,89.87,18.99,36.17,33.21,0,2.98,12.4,20,1.38,20,57.21,1.67,0.16,87.52,17.79,56.83,12.09,14.76,26.37,4.91
4210035,Luzerna ,27.65,76.27,14.69,95.8,0.7,27.97,6.28,0.72,22.65,1.47,31.54,17.45,14.77,70.42,0,13.82,84.83,35.85,65.29,27.94,20.29,15.59,26.33
4210050,Macieira ,21.21,80.95,4.62,99.16,0.42,31.51,0.27,0,23.11,2.27,59.84,84.65,6.69,7.28,55.93,75,91.35,52.06,9.09,19.32,40.53,27.65,47.94
4210100,Mafra ,12.39,89.87,3.6,97.01,10.18,19.42,0.34,0,11.95,4.4,48.98,61.5,7.96,86.68,88.24,52.71,81.88,31.09,63.2,32.99,53.45,13.71,27.07
4210209,Major Gercino ,16.31,82.43,1.16,97.29,1.94,6.59,49.6,3.33,1.06,29.08,65.41,3.38,62.78,91.92,0,3.19,76.43,36.7,61.35,60.99,27.66,24.11,24.24
4210308,Major Vieira ,15.66,86.02,1.12,98.32,11.62,1.96,19.17,0,8.29,1.18,21.19,28.88,8.53,74.04,0,22.5,88.89,38.6,32.63,44.61,46.05,7.24,16.69
4210407,Maracaja ,30.25,76.92,2.63,92.63,1.05,33.68,13.49,0,4.62,1.68,13.16,1.58,13.16,81.22,3.95,1.26,60.47,28.88,34.03,28.15,34.87,15.13,11.21
4210506,Maravilha ,16,87.44,17.79,95.32,40.94,60.43,2.83,0,43.96,9.96,81.02,84.49,21.3,92.41,75,72.6,77.23,34.54,77.18,32.1,56.26,15.32,56.96
4210555,Marema ,21.55,79.79,20.33,64.33,0.33,74.33,35.29,0.23,41.09,30.75,98.7,92.51,10.1,44.93,0,77.87,70.43,31.21,72.41,35.63,67.53,14.08,28.03
4210605,Massaranduba ,26.84,78.8,1.03,97.41,20.96,29.75,2.66,0,2.26,6.65,19.95,1.97,17.98,84.34,2.3,0.71,88.11,30.95,38.95,13.66,27.55,26.13,13.04
4210704,Matos Costa ,79.89,49.59,6.61,95.04,0,9.09,0.31,0,8.38,29.61,2.86,1.43,2.14,77.62,0,0.56,90.14,48.42,45.25,5.03,18.44,58.66,38.46
4210803,Meleiro ,21.45,80.07,0.88,95.88,67.75,33.43,1.23,0,5.26,1.05,20.29,17.23,20.29,32.96,0,13.68,80.25,30.88,85.66,22.63,46.71,26.97,14.95
4210852,Mirim Doce ,20.74,74.86,2.26,96.6,1.51,43.02,2,3.39,43.14,35.79,46.56,56.28,1.62,29.65,0,40.13,81.33,25.63,59.53,10.7,38.13,59.87,19.38
4210902,Modelo ,24.26,85.6,22.52,91.89,6.91,31.53,7.34,0.38,49.33,35.58,94.24,90.2,31.7,92.44,0,81.67,77.03,42.74,66.85,22.91,51.75,10.78,45.25
4211009,Mondai ,25.62,80.59,1.27,90.44,12.44,66.24,16.71,0.3,46.6,37.73,30.81,41.62,30.49,90.53,0,36.26,94.75,40.25,70.94,19.41,53.1,13.1,60.7
4211058,Monte Carlo ,17.57,91.52,7.95,96.03,23.18,15.89,12.72,0.46,5.41,12.84,40.26,38.31,10.39,96.23,.,32.43,88.61,44.65,48.65,10.14,55.41,43.24,42.77
4211108,Monte Castelo ,57.23,60.03,1.75,72.27,15.5,20.74,5.45,11.92,4.29,12.24,35.11,13.74,24.43,58.99,50,5.88,83.36,44.74,28.14,14.79,21.3,38.63,26.87
4211207,Morro da Fumaca ,41.99,66.8,1.16,95.38,1.73,43.35,5.11,0,8.66,6.06,3.47,14.45,4.62,62.5,0,9.09,71.16,41.67,49.35,34.2,24.68,35.93,20.83
4211256,Morro Grande ,30.21,69.7,1.41,97.53,26.15,65.72,5.79,1.16,4.81,23.53,53.52,16.9,54.58,76.1,0,12.3,84.34,20.63,72.19,47.06,40.37,11.5,17.75
4211306,Navegantes ,71.83,54.22,31.11,68.89,2.22,31.11,8.37,0.71,4.23,14.08,22.22,3.7,18.52,52.94,0,1.41,88.71,41.18,36.62,15.49,11.27,25.35,16.18
4211405,Nova Erechim ,14.66,92.1,6.93,82.18,13.2,85.15,1.2,0,64.17,49.51,96.24,95.11,6.77,81.94,100,78.5,88.89,26.28,78.83,56.68,51.47,11.73,47.44
4211454,Nova Itaberaba ,13.17,81.71,0.65,82.84,0.82,77.78,9.42,3.3,32.27,28.8,60.63,49.53,25.16,70.51,0,42.26,83.43,45.45,58.9,38.64,51.09,15.63,50.63
4211504,Nova Trento ,60.63,65.02,3.16,86.39,12.03,21.2,14.55,3.27,0.45,6.04,12.96,13.77,6.07,81.26,0,5.82,95.14,34.2,49.44,12.3,5.37,40.27,12.2
4211603,Nova Veneza ,29.02,77.53,12.27,96.87,13.58,15.4,8.23,0,8.29,1.22,16.26,12.74,14.09,82.74,0,9.76,81.02,24.84,72.2,34.39,42.2,16.34,16.48
4211652,Novo Horizonte ,31.23,71.86,18.14,90.04,2.43,33.41,1.01,0,37.54,20.88,97.95,96.93,1.64,52.64,0,77.02,80.77,46.37,52.98,33.86,56.49,23.33,39.62
4211702,Orleans ,43.61,60.05,2.22,91.3,14.05,43.07,13.04,0.22,9.35,36.41,42.37,11.95,54.22,54.48,0,6.86,85.2,22.62,67.77,32.5,20.52,35.13,16.58
4211751,Otacilio Costa ,68.33,75.07,1.56,96.48,2.73,1.17,8.38,0,16.74,3.17,17.51,25.29,4.67,68.54,50,17.19,65.56,42.49,52.04,17.19,23.98,42.99,10.62
4211801,Ouro ,23.16,87.73,9.7,83.39,3.13,86.18,1.47,0.39,51.47,2.57,94.16,96.11,1.42,68.29,50,75.37,81.66,35.56,81.07,36.76,56.25,12.32,34.04
4211850,Ouro Verde ,23.56,81.22,4.89,96.09,1.63,5.54,24.82,0.16,24.47,16.92,87.87,87.87,1.78,93.85,.,77.04,72.47,43.08,74.32,19.03,41.99,8.76,32
4211876,Paial ,84.16,78.92,2.53,76.9,1.81,69.68,6.08,0.33,40.37,33.85,63.37,51.16,24.42,91.96,66.67,43.48,94.34,55.92,76.4,8.07,44.72,21.12,55.03
4211892,Painel ,77.38,56.18,7.45,92.55,17.73,42.91,9.12,0,11.48,6.89,6.23,0,6.23,30.89,0,.,81.57,39.04,65.57,11.8,17.7,38.03,29.47
4211900,Palhoca ,90.3,16.99,4.29,88.57,10,50,4.18,2.13,2.7,4.58,26.32,10.53,22.37,14.48,0,1.62,88.46,15.18,52.02,49.87,1.35,16.98,4.88
4212007,Palma Sola ,33.51,73.3,6.34,95.93,2.6,34.96,1.94,0,37.72,15.2,83.79,65.48,44.41,70.83,0,49.12,83.2,46.47,54.68,14.65,51.7,16.01,46.98
4212056,Palmeira ,64.21,76.42,0.41,21.81,87.24,1.65,16.81,2.6,10.7,1,7.17,0,7.17,90.94,.,.,91.95,54.64,79.93,36.45,22.74,33.11,9.27
4212106,Palmitos ,32.24,80.68,6.87,82.46,9.12,65.55,1.26,0,37.7,46.54,67.5,65.74,26.85,74.42,9.09,54.81,74.21,40.52,57.88,36.04,43.42,17.47,42.54
4212205,Papanduva ,17.07,83.67,2.95,99.02,12.35,4.3,16.95,0.4,5.8,19.39,17.57,24.08,14.59,92.25,0,18.89,76.63,45.51,25.6,42.09,39.35,15.99,17.66
4212239,Paraiso ,8.68,90.67,2.65,98.53,0.74,33.24,44.12,3.31,42.3,1.82,74.89,93.34,27.23,86.07,.,83.47,96.14,48.3,69.89,24.51,61.9,17.23,70.07
4212254,Passo de Torres ,21.11,88.66,0,86.05,1.16,66.28,8.93,0,36.67,2.22,0,0,0,96.63,0,.,58.43,19.1,65.56,22.22,23.33,16.67,16.85
4212270,Passos Maia ,39.18,82.37,19.34,86.83,1.65,27.16,25.77,0,33.92,1.56,71.28,49.49,27.49,89.07,.,40.74,87.18,57.89,54.78,33.92,32.16,44.05,60.98
4212304,Paulo Lopes ,94.24,30.47,21.37,41.03,9.4,72.65,32.03,0.82,5.4,2.52,43.75,5,38.75,28.86,0,1.08,84.29,34.07,12.59,9.71,1.8,31.65,7.26
4212403,Pedras Grandes ,22.32,79.17,13.03,96.49,22.56,28.32,3.65,0.85,6.53,8.84,57.18,6.2,74.37,75.74,0,4.42,89.98,34.71,62.32,8.21,18.74,17.26,30.17
4212502,Penha ,100,6.59,0,33.33,0,66.67,15.48,0.25,5.56,0,20,0,20,33.33,0,.,88.89,41.67,45.83,6.94,2.78,30.56,4.17
4212601,Peritiba ,16.62,89.35,6.23,95.39,17.07,83.47,0,33.33,53.71,49.36,68.65,85.41,13.78,85,16.67,76.98,75.66,40.73,79.54,27.62,61.64,26.6,46.48
4212700,Petrolandia ,10.92,90.08,6.09,99.09,10.75,36.27,36.08,0,20.25,6.87,21.03,29.72,28.77,92.08,1.83,24.54,76.65,28.82,43.44,13.5,33.74,13.25,29.19
4212908,Pinhalzinho ,14.94,91.54,3.08,87.83,13.25,79.51,23.13,2,55.03,10.06,70.24,85.51,27.4,90.96,20,79.09,86.4,34.26,69.97,38.99,59.43,15.09,66.62
4213005,Pinheiro Preto ,15.68,87.92,0.55,92.31,32.42,71.43,14.49,0,8.65,6.49,93.71,92.45,1.89,60.77,16.67,71.35,85.08,31.32,62.16,38.92,32.97,21.08,19.23
4213104,Piratuba ,30.81,86.28,8.05,81.42,1.72,91,4.96,0.19,33.27,11.91,48.86,39.95,39.04,76.08,25,29.11,85.31,53.7,54.63,24.39,46.88,22.31,57.96
4213153,Planalto Alegre ,17.13,85.61,5.04,85.43,2.8,87.96,28.06,0.28,38.95,39.5,56.87,57.42,16.48,88.97,0,52.21,76.88,46.42,69.89,38.4,52.49,16.85,51.36
4213203,Pomerode ,85,52.39,8.24,22.35,2.35,90.59,0.92,1.76,7.83,3.5,20.92,5.1,17.86,73.91,28.57,3.17,96.01,49.04,4.83,2.33,1.33,38.67,44.59
4213302,Ponte Alta ,71.1,40.72,1.96,98.04,0.49,18.63,0.6,0.98,13.55,1.79,26.13,32.88,3.6,52.48,0,13.04,90.89,38.93,38.36,1.28,21.23,31.97,31.1
4213351,Ponte Alta do Norte ,81.48,36.72,10.64,87.23,10.64,17.02,3.13,8.51,4.94,41.98,37.7,31.15,11.48,64.63,50,8.64,88.51,30,9.88,32.1,11.11,59.26,14.44
4213401,Ponte Serrada ,47.18,61.59,5.02,87.81,58.42,53.76,7.28,0.72,33.33,9.04,92.39,86.59,10.87,79.76,33.33,53.95,84.33,45.57,70.62,12.71,33.05,38.98,36.72
4213500,Porto Belo ,92.86,22.56,10,66.67,3.33,46.67,0,0,7.14,8.33,18.18,0,18.18,4.76,.,.,86.52,35.11,2.38,4.76,0,57.14,9.57
4213609,Porto Uniao ,41.07,74.56,11.64,86.77,5.95,25.13,8.58,0.79,32.38,12.86,86.87,73.34,17.24,86.28,18.52,55.36,90,49.73,58.45,16.55,34.76,15,42.76
4213708,Pouso Redondo ,34.42,67.25,0.56,98.42,24.8,14.32,3.56,0.11,11.75,5.46,21.06,21.64,9.03,82.54,5.94,14.52,68.95,30.56,45.6,23.41,23.82,27,15.4
4213807,Praia Grande ,38.73,68.61,7.58,93.94,1.21,6.36,7.07,0,1.41,0.47,2.7,0.81,1.89,80.62,0.78,0.23,77.73,38.14,41.78,29.34,37.56,19.72,25.5
4213906,Presidente Castello Branco ,22,78.57,0.38,75,9.47,91.67,3.57,0,41.33,23,94.02,91.24,3.98,85.43,.,70.67,90.65,28.88,67,40.67,55,38,31.06
4214003,Presidente Getulio ,32.78,46.16,3.51,97.66,12.88,55.04,26.38,0,26.32,13.4,46.66,57.75,13.8,69.68,0,44.26,79.91,30.23,55.14,8.13,35.17,20.22,22.44
4214102,Presidente Nereu ,11.76,89.69,0,99.43,0.29,21.26,59.54,0,6.81,58.2,83.67,14.9,75.36,88.12,0,13.93,60.5,28.3,21.05,62.23,27.24,19.81,16.21
4214151,Princesa ,15.87,92.98,4.12,99.77,4.35,50.8,29.57,1.83,51.02,9.98,48.02,77.75,24.01,71.71,0,75.51,87.04,44.61,47.17,26.98,68.48,13.15,62.72
4214201,Quilombo ,19.9,77.24,10.31,91.36,0.79,35.66,12.52,1.67,36.86,33.76,94.21,76.28,21.66,77.89,1.49,61.84,72.81,49.36,69.6,16.02,54.44,20.16,39.97
4214300,Rancho Queimado ,32.93,72.09,12.9,97.95,51.61,47.51,21.14,0.29,5.81,54.24,3.9,12.81,3.62,80.91,75.98,9.93,49.06,29.1,56.42,3.39,19.61,10.65,12.43
4214409,Rio das Antas ,20.12,86.9,12.22,87.78,41.34,70.47,16.46,0.41,20.33,29.16,74.32,87.37,10.11,68.55,45.16,73.92,91.36,31.58,37.78,39.84,29.77,10.27,32.55
4214508,Rio do Campo ,22.09,81.65,0.33,99.19,2.93,19.71,44.15,0.16,44.05,2.73,12.98,35.9,6.09,83.9,7.34,30.27,65.61,28.28,50.22,43.9,30.7,22.96,23.8
4214607,Rio do Oeste ,17.01,88.96,0.4,97.44,37.25,43.18,60.02,0.54,40.23,28.81,16.88,36.12,34.59,95.21,2.13,31.09,77.05,22.11,44.04,51.78,51.14,12.56,23.74
4214805,Rio do Sul ,47.42,45.43,0.74,78.19,2.45,56.86,2.34,0.25,8.55,17.42,40.64,35.69,12.01,64.83,9.88,26.77,86.99,43.66,55,16.13,15.81,30.65,34.59
4214706,Rio dos Cedros ,58.02,67.17,8.15,87.78,28.31,45.62,35.98,0.61,2.85,35.73,40.54,37.26,16.02,41.34,3.57,11.68,91.52,40.49,44.16,1.9,8.02,47.01,22.8
4214904,Rio Fortuna ,34.09,71.59,0.35,98.44,3.81,72.44,13.65,0,30.59,1.52,31.65,10.43,41.55,85.16,0,7.15,83.86,26.23,78.84,12.94,13.09,26.94,28.04
4215000,Rio Negrinho ,54.73,58.32,4.36,92.59,25.49,30.72,15.37,8.5,12.05,31.5,50.11,50.76,14.04,78.03,57.14,26.85,78.49,29.09,35.11,17.38,18.59,40.1,18.44
4215059,Rio Rufino ,42.62,66.01,2.13,98.72,7.23,4.26,28.37,0,13.77,11.48,18.5,25.2,4.72,64.11,25,18.03,72.85,31.42,60.33,40.66,38.36,9.51,19.64
4215075,Riqueza ,14.49,82.57,12.36,94.17,2.78,20.97,6.42,0.14,35.57,12.72,40.63,22.44,33.52,90.45,0,18.02,89.95,53.95,68.9,11.78,54.3,10.95,52.73
4215109,Rodeio ,56.8,54.57,1.91,72.25,6.7,45.93,1.57,0,5.92,10.65,37.57,13.76,25.4,57.88,3.13,7.1,96.54,45.43,32.54,3.85,15.68,37.87,25.14
4215208,Romelendia ,15.89,83.63,2.12,94.34,2.48,53.42,44.28,0.59,43.65,57.79,80.14,86.15,28.15,75.75,0,75.34,80,45.01,57.48,19.92,66.15,15.17,44.09
4215307,Salete ,21.93,79.14,1.43,97.39,1.43,32.78,28.2,0,25.96,33.8,38.73,50.74,27.7,69.92,22.22,38.63,79.35,29.88,42.45,35.01,28.57,41.45,31.87
4215356,Saltinho ,26.78,84.55,3.45,96.21,23.45,31.9,26.24,0,50.46,18.27,71.31,87.06,22.89,76.2,100,77.71,95.37,52.89,66.1,21.05,55.73,15.48,62.22
4215406,Salto Veloso ,41.51,62.15,1.68,83.8,6.7,95.53,13.54,0.56,33.02,2.36,75.26,23.2,52.06,82.65,0,18.4,88.37,34.42,31.6,14.62,19.34,30.66,19.07
4215455,Sangao ,60.09,36.92,0,78.86,1.14,24.57,0,0,1.35,0.9,0,0,0,76.64,0,.,81.38,50.91,72.42,6.73,21.08,63.9,5.19
4215505,Santa Cecilia ,92.02,25.77,4.76,96.43,0,8.33,0.61,1.19,3.29,2.82,69.89,19.35,54.84,50.66,0,2.35,83.27,47.37,18.78,9.39,17.37,23.47,29.15
4215554,Santa Helena ,8.4,95.5,0.28,97.78,19.67,48.48,19.58,7.2,38.94,8.96,78.9,72.33,37.53,96.76,0,69.47,75,44.62,71.99,18.21,64.43,8.96,50.27
4215604,Santa Rosa de Lima ,57.14,59.79,0.59,90.56,5.6,69.91,22.75,0.88,13.41,21.32,46.5,20.97,44.68,82.43,0,10.99,87.5,24.59,67.69,8.79,15.16,40.66,38.7
4215653,Santa Rosa do Sul ,32.22,73.68,12.52,92.37,2.6,27.63,12.04,0,4.06,7.16,45.8,1.64,44.89,61.02,0,0.84,72.79,36.12,48.69,11.34,24.82,21.96,11.18
4215679,Santa Terezinha ,19.55,82.66,0.35,98.89,37,1.17,44.2,0.35,6.33,16.35,8.3,16.97,7.14,78.96,0,12.78,90.07,36.55,22.52,53.82,33.35,16.89,21.73
4215687,Santa Terezinha do Progresso ,26.62,63.44,11.16,81.09,44.42,37.81,21.1,0,19.85,32.18,55.06,51.38,19.15,93.76,50,41.05,87.42,55.31,53.98,15.19,42.11,30.53,65.78
4215695,Santiago do Sul ,51.74,43.96,9.89,94.51,61.54,25.27,0.48,0,25.87,7.46,78.49,51.08,31.72,72.28,.,45.27,100,56.59,78.61,6.97,51.74,22.89,36.59
4215703,Santo Amaro da Imperatriz ,63.99,53.26,10.04,83.41,1.31,40.17,1.63,0,3.37,25.39,38.02,32.81,7.29,66.93,12.35,13.47,91.91,32.49,43.78,23.83,3.63,23.58,11.17
4215802,Sao Bento do Sul ,51.05,85.99,1.12,97.54,2.46,43.08,35.89,0.89,10,15.79,72.63,93.53,28.23,75.54,9.09,18.42,90,32.26,33.68,26.84,20,27.89,22.58
4215752,Sao Bernardino ,37.53,63.11,7.75,92.96,10.56,64.08,16.44,1.41,56.83,11.71,30.77,32.31,10.77,81.98,0,86.33,84.16,44.56,72.89,11.28,62.04,25.81,55.65
4215901,Sao Bonifacio ,52.05,61.78,0.72,92.81,4.32,78.42,20.74,0.24,16.83,46.77,38.58,13.12,32.28,74.51,16.67,7.83,82.57,39.9,42.66,9,9.59,31.12,37.66
4216008,Sao Carlos ,38.23,83.03,1.5,89.84,10.16,71.94,21.38,0.46,51.17,47.3,68.29,73.39,26.61,81.43,28.57,58.1,87.18,39.2,62.9,33.84,50.36,22.73,50.24
4216057,Sao Cristovao do Sul ,81.55,34.34,14.04,78.95,0,42.11,2.41,0,6.8,25.24,59.46,8.11,56.76,6.92,0,3.88,90.37,45.19,43.69,8.74,11.65,33.01,18.52
4216107,Sao Domingos ,11.71,74.97,17.28,95.13,13.29,23.49,26.91,5.91,46.58,26.58,94.26,95.14,4.24,77.15,50,85.39,76.43,40.25,77.89,26.84,63.82,20.66,44.2
4216206,Sao Francisco do Sul ,89.66,39.32,34.78,60.87,15.22,60.87,10.26,0,21.84,17.24,26.47,5.88,29.41,32.32,7.14,2.3,89.47,34.65,28.74,16.09,9.2,50.57,13.86
4216305,Sao Joao Batista ,63.06,62.17,40.68,95.82,0.38,12.17,0,0,16.11,1.11,26.55,1.13,25.42,36.36,10,.,86.98,40.93,31.39,19.72,8.33,33.89,13.21
4216354,Sao Joao do Itaperi_ ,33.6,93.81,1.34,95.6,1.59,76.19,15.35,0.61,1.05,1.57,78.57,61.3,31.56,67.45,3.95,0.26,76.45,28.24,38.85,36.22,24.15,21,15.28
4216255,Sao Joao do Oeste ,24.63,40.6,2.29,93.14,2.29,14.86,1.16,0,62.75,60.66,39.62,1.26,38.36,89.21,0,55.51,93.02,32.82,74.51,32.48,54.04,10.54,35.3
4216404,Sao Joao do Sul ,28.52,78.13,1.42,95.44,19.07,21.1,19.97,0,5.52,5.18,15.71,2.69,14.9,64.35,0.37,2.29,66.53,40.94,75.3,28.52,30.65,20.8,16.87
4216503,Sao Joaquim ,47.66,63.33,10.1,96.5,21.44,6.87,10.87,2.78,1.8,16.35,5.09,0.09,10.19,51.9,33.33,.,88.4,27.57,58.29,39.24,23.68,42.31,7.12
4216602,Sao Jose,90.13,41.67,3.08,24.62,1.54,96.92,0.32,0,5.58,2.58,82.39,0,82.39,30.37,0,.,85.62,28.08,10.3,3,4.29,52.79,20.89
4216701,Sao Jose do Cedro ,15.31,85.34,5.78,97.86,10.69,42.36,15.95,0.48,38.39,9.63,87.41,89.17,9.84,84.85,0,79.94,84.22,43.9,44.57,19.27,60.17,10.78,51.32
4216800,Sao Jose do Cerrito ,59.82,62.49,4.38,95.17,7.21,2.38,1.07,0.59,12.55,7.9,27.97,21.37,15.34,45.5,23.08,15.14,82.72,57.6,59.71,4,31.86,23.15,41.81
4216909,Sao Lourenco do Oeste ,51.32,82.17,13.71,96.72,12.11,21.28,11.61,0,47.84,6.13,82.9,86.02,13.31,83.16,4.55,71.61,87.84,49.53,55.26,11.96,54.28,18.93,40.62
4217006,Sao Ludgero ,28.7,72.77,1.36,80.61,31.29,75.85,20.54,0,23.46,25.31,36.03,8.1,40.49,76.36,6.52,4.94,77.03,28.46,71.6,28.7,16.05,30.25,20.05
4217105,Sao Martinho ,36.19,73.28,0.27,94.91,28.15,73.19,12.38,0,21.67,32.38,34.62,9.2,29.54,86.21,0,6.19,98.19,27.86,49.76,8.57,12.86,18.1,36.87
4217154,Sao Miguel da Boa Vista ,22.52,83,0.27,95.42,1.08,41.51,12.75,0,56.17,65.38,54.18,58.23,12.66,71.06,11.11,52.3,78.92,52.69,61.26,8.72,47.46,16.71,53.63
4217204,Sao Miguel do Oeste ,30.36,78.84,7.83,94.35,15.44,60.6,35.06,0.12,39.09,11.17,77.5,80.09,23.47,79.27,33.33,69.64,91.54,38.73,67.82,11.57,47.82,17.46,53.02
4217253,Sao Pedro de Alcantara ,90.33,34.3,11.45,77.11,0,74.7,0.83,0,1.65,0.24,86.32,58.95,27.37,51.13,4.55,11.08,96.29,37.25,7.55,2.36,1.65,37.03,26.61
4217303,Saudades ,24.48,90.55,11.88,95.4,23.85,49.04,10.75,1.44,46.95,19.24,70.09,65.68,37.58,95.63,0,60.38,93.55,39.84,71.52,28,60.48,13.9,57.08
4217402,Schroeder ,57.35,61.51,1.36,87.76,31.97,37.41,0.84,0.68,6.37,7.35,20.48,6.02,18.07,27.55,7.14,2.45,81.35,37.24,34.31,11.27,8.82,19.61,22.45
4217501,Seara ,29.72,79.75,12.83,78.83,18.7,78.83,11.4,0.18,45.82,31.08,78.43,71.91,24.3,75.32,33.33,54.18,86.2,37.4,73.94,30.76,60.72,20.88,28.73
4217550,Serra Alta ,18.28,81.95,2.52,97.02,4.82,38.99,9.59,0.69,32.26,52.69,80.6,86.37,19.86,82.61,100,70.75,84.03,44.53,53.98,48.82,47.74,24.09,52.09
4217600,Sideropolis ,53.73,71.53,22.75,89.57,2.84,30.81,2.37,0,7.84,10.2,36.57,33.71,7.43,58.8,0,18.43,79.22,36.43,50.2,36.08,18.43,13.73,19.7
4217709,Sombrio ,24.03,85.27,2,83.27,8.73,55.82,13.33,0,2.54,1.86,30.77,1.35,32.31,50.52,2.13,1.02,33.33,25.04,54.48,43.32,42.13,13.87,8.64
4217758,Sul Brasil ,18.94,86.33,1.6,96.79,0.2,36.67,3.63,0.6,44.81,34.43,69.02,89.22,7.06,97.56,0,80.15,92.16,47.23,66.67,7.47,50.27,14.39,69.74
4217808,Taio,19.47,80.56,2.96,95.47,15.96,32.41,18.17,0.49,31.68,19.1,20.14,44.3,4.81,69.55,3.64,37.74,73.39,31.93,67.03,21.67,36.64,22.77,27.12
4217907,Tangara ,20.21,81.92,6.3,95.7,32.23,60.32,26.88,0.14,17.25,29.21,96.11,93.47,5.75,90.27,57.14,71.81,83.36,30.79,52.64,24.07,49.29,18.02,29.84
4217956,Tigrinhos ,14.72,85.85,0.28,95.81,33.24,74.3,60.91,0,53.05,29.19,56.2,36.71,60,97.56,.,35.53,96.81,55.37,65.99,5.08,41.88,9.14,73.17
4218004,Tijucas ,55.28,47.53,2.6,83.12,9.09,31.17,6.79,0,1.63,6.5,17.28,11.11,6.17,72.66,14.29,4.88,91.79,32.84,47.97,11.38,9.76,23.58,8.96
4218103,Timbe do Sul ,21.43,81.4,0.68,97.74,18.55,31,7.37,0,1.79,18.65,34.28,1.42,37.12,87.99,0,1.19,50,22.71,82.34,52.78,26.98,11.71,10.5
4218202,Timbo ,77.56,50,13.41,45.21,3.45,72.03,7.28,0,14.16,14.16,19.64,8.04,16.07,33.69,1.3,3.27,96,39.92,13.29,6.32,4.58,50.54,24.37
4218251,Timbo Grande ,90.55,24.18,1.52,96.97,0,2.27,0.18,0.76,3.23,0.69,22.8,19.17,5.7,77.33,50,7.83,84.73,38.99,26.73,1.15,8.53,45.16,33.33
4218301,Tres Barras ,68.11,50.49,4.39,90.73,14.15,10.24,4.68,1.95,13,8.98,45.95,45.5,5.86,46.69,20,21.67,75.85,42.3,18.27,8.67,10.53,50.46,26.61
4218350,Treviso ,63.87,60.71,0,86.27,19.61,67.65,10.71,0,8.39,37.42,14.14,7.07,9.09,29.94,0,4.52,88.16,31.88,49.03,36.77,12.26,54.19,35.63
